Constituency	Province / Territory
Chicoutimi--Le Fjord	Quebec
Fundy Royal	New Brunswick
Kootenay--Columbia	British Columbia
Souris--Moose Mountain	Saskatchewan
Egmont	Prince Edward Island
Don Valley West	Ontario
Calgary Signal Hill	Alberta
Coquitlam--Port Coquitlam	British Columbia
Battlefords--Lloydminster	Saskatchewan
Brampton North	Ontario
Whitby	Ontario
Scarborough Centre	Ontario
Pierrefonds--Dollard	Quebec
York--Simcoe	Ontario
Parry Sound--Muskoka	Ontario
Hamilton Mountain	Ontario
Lanark--Frontenac--Kingston	Ontario
Coast of Bays--Central--Notre Dame	Newfoundland and Labrador
St. John's South--Mount Pearl	Newfoundland and Labrador
Charlottetown	Prince Edward Island
Central Nova	Nova Scotia
Abitibi--T�miscamingue	Quebec
Acadie--Bathurst	New Brunswick
Lakeland	Alberta
Scarborough North	Ontario
Longueuil--Charles-LeMoyne	Quebec
Mirabel	Quebec
Saint-Hyacinthe--Bagot	Quebec
Brampton South	Ontario
Hochelaga	Quebec
Montarville	Quebec
Argenteuil--La Petite-Nation	Quebec
Calgary Midnapore	Alberta
Bellechasse--Les Etchemins--L�vis	Quebec
Laurier--Sainte-Marie	Quebec
Gatineau	Quebec
Surrey--Newton	British Columbia
Mississauga--Lakeshore	Ontario
Abitibi--Baie-James--Nunavik--Eeyou	Quebec
Langley--Aldergrove	British Columbia
Cloverdale--Langley City	British Columbia
Skeena--Bulkley Valley	British Columbia
Provencher	Manitoba
Burnaby North--Seymour	British Columbia
Simcoe--Grey	Ontario
Winnipeg South	Manitoba
Sault Ste. Marie	Ontario
Kitchener--Conestoga	Ontario
Edmonton Mill Woods	Alberta
Cariboo--Prince George	British Columbia
Calgary Shepard	Alberta
Moose Jaw--Lake Centre--Lanigan	Saskatchewan
Niagara Falls	Ontario
Newmarket--Aurora	Ontario
Kelowna--Lake Country	British Columbia
Niagara Centre	Ontario
Regina--Lewvan	Saskatchewan
Malpeque	Prince Edward Island
Saint John--Rothesay	New Brunswick
Pontiac	Quebec
Pierre-Boucher--Les Patriotes--Verch�res	Quebec
York Centre	Ontario
Don Valley East	Ontario
Etobicoke Centre	Ontario
Berthier--Maskinong�	Quebec
Marc-Aur�le-Fortin	Quebec
Beloeil--Chambly	Quebec
Labrador	Newfoundland and Labrador
Edmonton Manning	Alberta
